股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌额,换手率,涨跌幅
1,2024-01-26,993.1840536,1008.9155856,1014.1594296,990.0377472,227228706.0,2172799799.01,2.42,12.59,1.1709,1.2632
1,2024-01-29,1016.2569672,1017.305736,1036.1835744,1004.7205104,237625184.0,2312173346.33,3.12,8.39,1.2245,0.8316
1,2024-01-30,1007.8668168,996.33036,1017.305736,995.2815912,157912214.0,1515156603.96,2.16,-20.98,0.8137,-2.0619
1,2024-01-31,992.1352848,992.1352848,1002.6229728,983.7451344,135721747.0,1286857396.81,1.89,-4.2,0.6994,-0.4211
1,2024-02-01,986.8914408,986.8914408,994.2328224,979.5500592,105525987.0,993481907.01,1.48,-5.24,0.5438,-0.5285
1,2024-02-02,987.9402096,972.2086776,993.1840536,951.2333016,163421431.0,1520605694.69,4.25,-14.68,0.8421,-1.4878
1,2024-02-05,963.8185272,983.7451344,988.9889784,955.4283768,180359190.0,1674566499.46,3.45,11.54,0.9294,1.1866
1,2024-02-06,975.354984,1015.2081984,1015.2081984,974.3062152,199540954.0,1900324218.2,4.16,31.46,1.0283,3.1983
1,2024-02-07,1008.9155856,1007.8668168,1014.1594296,994.2328224,206201497.0,1975435102.12,1.96,-7.34,1.0626,-0.7231
1,2024-02-08,1004.7205104,1014.1594296,1014.1594296,998.4278976,165681384.0,1593505690.13,1.56,6.29,0.8538,0.6243
1,2024-02-19,1023.5983488,1028.8421928,1028.8421928,1012.061892,160524265.0,1564088444.93,1.65,14.68,0.8272,1.4478
1,2024-02-20,1026.7446552,1029.8909616,1031.9884992,1020.4520424,112356398.0,1098987813.26,1.12,1.05,0.579,0.1019
1,2024-02-21,1025.6958864,1132.670304,1132.670304,1024.6471176,505528460.0,5295259396.81,10.49,102.78,2.6051,9.9796
1,2024-02-22,1116.938772,1143.157992,1144.2067608,1113.7924656,492232512.0,5307736374.06,2.69,10.49,2.5366,0.9259
1,2024-02-23,1141.0604544,1137.914148,1178.8161312,1136.8653792,356747950.0,3917316281.52,3.67,-5.24,1.8384,-0.4587
1,2024-02-26,1130.5727664,1104.3535464,1141.0604544,1101.20724,286260888.0,3048205024.78,3.5,-33.56,1.4751,-2.9493
1,2024-02-27,1100.1584712,1101.20724,1111.694928,1097.0121648,198190492.0,2083027074.06,1.33,-3.15,1.0213,-0.2849
1,2024-02-28,1102.2560088,1100.1584712,1122.182616,1090.719552,308269265.0,3253340358.41,2.86,-1.05,1.5886,-0.0952
1,2024-02-29,1092.8170896,1110.6461592,1110.6461592,1091.7683208,184534423.0,1936020982.56,1.72,10.49,0.9509,0.9533
1,2024-03-01,1110.6461592,1100.1584712,1111.694928,1093.8658584,182810290.0,1917689306.77,1.61,-10.49,0.9421,-0.9443
1,2024-03-04,1095.963396,1083.3781704,1101.20724,1082.3294016,165592954.0,1719562862.03,1.72,-16.78,0.8533,-1.5253
1,2024-03-05,1080.231864,1093.8658584,1098.0609336,1076.0367888,181731907.0,1889144330.16,2.03,10.49,0.9365,0.9681
1,2024-03-06,1090.719552,1083.3781704,1095.963396,1083.3781704,134564016.0,1396940060.42,1.15,-10.49,0.6934,-0.9588
1,2024-03-07,1083.3781704,1088.6220144,1115.8900032,1083.3781704,201616589.0,2109589237.19,3.0,5.24,1.039,0.484
1,2024-03-08,1085.475708,1088.6220144,1094.9146272,1080.231864,111397428.0,1154491251.23,1.35,0.0,0.574,0.0
1,2024-03-11,1088.6220144,1098.0609336,1098.0609336,1084.4269392,121067298.0,1260212019.66,1.25,9.44,0.6239,0.8671
1,2024-03-12,1099.1097024,1107.4998528,1110.6461592,1091.7683208,164126237.0,1721999708.11,1.72,9.44,0.8458,0.8596
1,2024-03-13,1104.3535464,1083.3781704,1106.451084,1080.231864,176803911.0,1834654994.4,2.37,-24.12,0.9111,-2.178
1,2024-03-14,1080.231864,1072.8904824,1088.6220144,1069.744176,140939973.0,1448499697.91,1.74,-10.49,0.7263,-0.9681
1,2024-03-15,1106.451084,1111.694928,1127.42646,1101.20724,375020789.0,3973799130.9,2.44,38.8,1.9325,3.6168
1,2024-03-18,1107.4998528,1105.4023152,1112.7436968,1100.1584712,167139651.0,1761249149.98,1.13,-6.29,0.8613,-0.566
1,2024-03-19,1104.3535464,1090.719552,1105.4023152,1089.6707832,129321558.0,1351069630.23,1.42,-14.68,0.6664,-1.3283
1,2024-03-20,1088.6220144,1095.963396,1098.0609336,1087.5732456,87266316.0,910278572.98,0.96,5.24,0.4497,0.4808
1,2024-03-21,1095.963396,1098.0609336,1103.3047776,1092.8170896,86446625.0,905422293.67,0.96,2.1,0.4455,0.1914
1,2024-03-22,1095.963396,1086.5244768,1095.963396,1081.2806328,102814174.0,1065535606.11,1.34,-11.54,0.5298,-1.0506
1,2024-03-25,1085.475708,1090.719552,1100.1584712,1082.3294016,95320221.0,993304120.45,1.64,4.2,0.4912,0.3861
1,2024-03-26,1095.963396,1111.694928,1117.9875408,1092.8170896,174002146.0,1835376190.72,2.31,20.98,0.8967,1.9231
1,2024-03-27,1107.4998528,1104.3535464,1114.8412344,1102.2560088,127413599.0,1347397150.36,1.13,-7.34,0.6566,-0.6604
1,2024-03-28,1102.2560088,1100.1584712,1108.5486216,1088.6220144,130218892.0,1362980388.48,1.8,-4.2,0.671,-0.3799
1,2024-03-29,1095.963396,1103.3047776,1108.5486216,1093.8658584,87275898.0,917332315.96,1.33,3.15,0.4497,0.286
1,2024-04-01,1103.3047776,1115.8900032,1116.938772,1102.2560088,119108796.0,1261770380.39,1.33,12.59,0.6138,1.1407
1,2024-04-02,1114.8412344,1106.451084,1120.0850784,1104.3535464,108545826.0,1149700799.95,1.41,-9.44,0.5594,-0.8459
1,2024-04-03,1104.3535464,1097.0121648,1106.451084,1092.8170896,98184585.0,1028648883.43,1.23,-9.44,0.506,-0.8531
1,2024-04-08,1092.8170896,1093.8658584,1100.1584712,1087.5732456,90636052.0,945290441.32,1.15,-3.15,0.4671,-0.2868
1,2024-04-09,1093.8658584,1090.719552,1098.0609336,1086.5244768,85715673.0,891468991.01,1.05,-3.15,0.4417,-0.2876
1,2024-04-10,1088.6220144,1078.1343264,1091.7683208,1077.0855576,124639082.0,1288696196.29,1.35,-12.59,0.6423,-1.1538
1,2024-04-11,1073.9392512,1074.98802,1079.1830952,1061.3540256,101021340.0,1030820137.39,1.65,-3.15,0.5206,-0.2918
1,2024-04-12,1071.8417136,1055.0614128,1077.0855576,1052.9638752,130545371.0,1322011753.93,2.24,-19.93,0.6727,-1.8537
1,2024-04-15,1056.1101816,1079.1830952,1082.3294016,1055.0614128,145320260.0,1486326196.01,2.58,24.12,0.7489,2.2863
1,2024-04-16,1078.1343264,1078.1343264,1089.6707832,1071.8417136,147803643.0,1523138499.07,1.65,-1.05,0.7617,-0.0972
1,2024-04-17,1076.0367888,1113.7924656,1114.8412344,1070.7929448,223264057.0,2337576586.88,4.09,35.66,1.1505,3.3074
1,2024-04-18,1109.5973904,1132.670304,1156.7919864,1107.4998528,316591426.0,3427338981.81,4.43,18.88,1.6314,1.6949
1,2024-04-19,1123.2313848,1121.1338472,1134.7678416,1117.9875408,145767502.0,1562376146.58,1.48,-11.54,0.7512,-1.0185
1,2024-04-22,1115.8900032,1101.20724,1133.7190728,1095.963396,200981837.0,2125722741.41,3.37,-19.93,1.0357,-1.7774
1,2024-04-23,1102.2560088,1105.4023152,1116.938772,1097.0121648,124002700.0,1308866093.13,1.81,4.2,0.639,0.381
1,2024-04-24,1103.3047776,1104.3535464,1108.5486216,1097.0121648,94156774.0,989093538.21,1.04,-1.05,0.4852,-0.0949
1,2024-04-25,1101.20724,1112.7436968,1113.7924656,1099.1097024,111381224.0,1176304524.86,1.33,8.39,0.574,0.7597
1,2024-04-26,1110.6461592,1111.694928,1119.0363096,1099.1097024,160762751.0,1698581436.96,1.79,-1.05,0.8284,-0.0943
1,2024-04-29,1107.4998528,1133.7190728,1143.157992,1103.3047776,216917737.0,2337350883.73,3.58,22.02,1.1178,1.9811
1,2024-04-30,1132.670304,1131.6215352,1141.0604544,1125.3289224,132455653.0,1431407709.37,1.39,-2.1,0.6826,-0.185
1,2024-05-06,1149.4506048,1142.1092232,1165.1821368,1136.8653792,178410057.0,1953817493.43,2.5,10.49,0.9194,0.9268
1,2024-05-07,1140.0116856,1141.0604544,1142.1092232,1128.4752288,108705665.0,1176786412.82,1.19,-1.05,0.5602,-0.0918
1,2024-05-08,1136.8653792,1125.3289224,1141.0604544,1123.2313848,122179127.0,1318611999.65,1.56,-15.73,0.6296,-1.3787
1,2024-05-09,1123.2313848,1128.4752288,1134.7678416,1123.2313848,106946063.0,1150726857.51,1.03,3.15,0.5511,0.2796
1,2024-05-10,1129.5239976,1147.3530672,1149.4506048,1128.4752288,176783561.0,1923452176.84,1.86,18.88,0.911,1.6729
1,2024-05-13,1143.157992,1150.4993736,1154.6944488,1133.7190728,140249860.0,1530058919.54,1.83,3.15,0.7227,0.2742
1,2024-05-14,1153.64568,1144.2067608,1159.9382928,1141.0604544,107578391.0,1176577328.23,1.64,-6.29,0.5544,-0.5469
1,2024-05-15,1143.157992,1135.8166104,1145.2555296,1133.7190728,86829660.0,942907950.5,1.01,-8.39,0.4474,-0.7333
1,2024-05-16,1137.914148,1171.4747496,1175.6698248,1135.8166104,307629165.0,3410151917.15,3.51,35.66,1.5853,3.1394
1,2024-05-17,1172.5235184,1197.6939696,1197.6939696,1167.2796744,284174885.0,3200736554.36,2.6,26.22,1.4644,2.2381
1,2024-05-20,1198.7427384,1193.4988944,1209.2304264,1186.1575128,217021030.0,2475290152.11,1.93,-4.2,1.1183,-0.3503
1,2024-05-21,1187.2062816,1211.327964,1218.6693456,1186.1575128,203004941.0,2336192874.97,2.72,17.83,1.0461,1.4938
1,2024-05-22,1212.3767328,1212.3767328,1231.2545712,1201.8890448,211553138.0,2458448969.66,2.42,1.05,1.0902,0.0866
1,2024-05-23,1209.2304264,1195.596432,1215.5230392,1192.4501256,184162290.0,2110799281.76,1.9,-16.78,0.949,-1.3841
1,2024-05-24,1192.4501256,1186.1575128,1205.0353512,1185.108744,139827584.0,1593330336.42,1.67,-9.44,0.7206,-0.7895
1,2024-05-27,1186.1575128,1207.1328888,1209.2304264,1186.1575128,145436143.0,1663272117.57,1.95,20.98,0.7495,1.7683
1,2024-05-28,1206.08412,1195.596432,1214.4742704,1191.4013568,120432285.0,1377107203.91,1.91,-11.54,0.6206,-0.9557
1,2024-05-29,1193.4988944,1180.9136688,1200.840276,1177.7673624,144481111.0,1635445613.13,1.93,-14.68,0.7445,-1.2281
1,2024-05-30,1178.8161312,1166.2309056,1189.3038192,1159.9382928,132549635.0,1481608711.02,2.49,-14.68,0.6831,-1.2433
1,2024-05-31,1168.3284432,1165.1821368,1173.5722872,1165.1821368,82670676.0,921248145.59,0.72,-1.05,0.426,-0.0899
1,2024-06-03,1166.2309056,1151.5481424,1167.2796744,1144.2067608,132669675.0,1456086023.62,1.98,-13.63,0.6837,-1.1701
1,2024-06-04,1148.401836,1155.7432176,1158.889524,1144.2067608,98100495.0,1079356560.61,1.28,4.2,0.5055,0.3643
1,2024-06-05,1157.8407552,1140.0116856,1160.9870616,1140.0116856,101896775.0,1114155998.81,1.81,-15.73,0.5251,-1.3612
1,2024-06-06,1143.157992,1143.157992,1151.5481424,1141.0604544,104933153.0,1145989425.79,0.92,3.15,0.5407,0.276
1,2024-06-07,1145.2555296,1152.5969112,1154.6944488,1142.1092232,117012604.0,1281662985.8,1.1,9.44,0.603,0.8257
1,2024-06-11,1151.5481424,1140.0116856,1155.7432176,1131.6215352,133762854.0,1452841956.89,2.09,-12.59,0.6893,-1.0919
1,2024-06-12,1137.914148,1141.0604544,1144.2067608,1130.5727664,95742635.0,1037927497.39,1.2,1.05,0.4934,0.092
1,2024-06-13,1142.1092232,1132.670304,1146.3042984,1132.670304,120350779.0,1304403407.05,1.19,-8.39,0.6202,-0.7353
1,2024-06-14,1140.5365804,1143.90762448,1149.52603128,1122.55767864,163799047.0,1657433954.94,2.38,11.24,0.8441,0.9921
1,2024-06-17,1138.28921768,1134.9181736,1141.66026176,1132.67081088,68121702.0,688669914.12,0.79,-8.99,0.351,-0.7859
1,2024-06-18,1136.04185496,1132.67081088,1141.66026176,1128.17608544,70065308.0,707829471.51,1.19,-2.25,0.3611,-0.198
1,2024-06-19,1134.9181736,1140.5365804,1147.27866856,1132.67081088,79618418.0,807676192.22,1.29,7.87,0.4103,0.6944
1,2024-06-20,1141.66026176,1129.2997668,1142.78394312,1129.2997668,62962757.0,635070262.4,1.18,-11.24,0.3245,-0.9852
1,2024-06-21,1129.2997668,1123.68136,1133.79449224,1118.0629532,83054528.0,831176895.42,1.39,-5.62,0.428,-0.4975
1,2024-06-24,1120.31031592,1121.43399728,1131.54712952,1110.19718368,94708154.0,944907465.65,1.9,-2.25,0.488,-0.2
1,2024-06-25,1122.55767864,1132.67081088,1138.28921768,1121.43399728,76999281.0,775332071.89,1.5,11.24,0.3968,1.002
1,2024-06-26,1130.42344816,1132.67081088,1138.28921768,1125.92872272,62859871.0,633763882.09,1.09,0.0,0.3239,0.0
1,2024-06-27,1130.42344816,1138.28921768,1147.27866856,1123.68136,92888197.0,938954397.5,2.08,5.62,0.4787,0.496
1,2024-06-28,1134.9181736,1140.5365804,1152.89707536,1133.79449224,91808992.0,933947813.42,1.68,2.25,0.4731,0.1974
1,2024-07-01,1133.79449224,1163.0102076,1163.0102076,1128.17608544,134305149.0,1372549619.58,3.05,22.47,0.6921,1.9704
1,2024-07-02,1157.3918008,1168.6286144,1177.61806528,1155.14443808,138438570.0,1440864390.61,1.93,5.62,0.7134,0.4831
1,2024-07-03,1168.6286144,1158.51548216,1171.99965848,1156.26811944,71306746.0,737326421.16,1.35,-10.11,0.3675,-0.8654
1,2024-07-04,1157.3918008,1152.89707536,1166.38125168,1151.773394,73504424.0,757464386.79,1.26,-5.62,0.3788,-0.485
1,2024-07-05,1152.89707536,1120.31031592,1156.26811944,1114.69190912,171335386.0,1721256576.49,3.61,-32.59,0.8829,-2.8265
1,2024-07-08,1116.93927184,1115.81559048,1125.92872272,1106.8261396,86865962.0,864791776.33,1.71,-4.49,0.4476,-0.4012
1,2024-07-09,1116.93927184,1131.54712952,1134.9181736,1113.56822776,103248530.0,1034316510.76,1.91,15.73,0.5321,1.4099
1,2024-07-10,1131.54712952,1139.41289904,1146.1549872,1129.2997668,87386511.0,886626727.3,1.49,7.87,0.4503,0.6951
1,2024-07-11,1147.27866856,1138.28921768,1149.52603128,1131.54712952,72139225.0,731789332.33,1.58,-1.12,0.3717,-0.0986
1,2024-07-12,1137.16553632,1158.51548216,1158.51548216,1137.16553632,121416369.0,1246877665.6,1.88,20.23,0.6257,1.7769
1,2024-07-15,1158.51548216,1160.76284488,1163.0102076,1152.89707536,86941247.0,896975833.16,0.87,2.25,0.448,0.194
1,2024-07-16,1160.76284488,1157.3918008,1165.25757032,1150.64971264,94300811.0,971564894.83,1.26,-3.37,0.4859,-0.2904
1,2024-07-17,1157.3918008,1168.6286144,1170.87597712,1155.14443808,122016835.0,1266412580.0,1.36,11.24,0.6288,0.9709
1,2024-07-18,1166.38125168,1169.75229576,1171.99965848,1157.3918008,108706102.0,1127365070.67,1.25,1.12,0.5602,0.0962
1,2024-07-19,1166.38125168,1165.25757032,1170.87597712,1156.26811944,89872324.0,929722661.62,1.25,-4.49,0.4631,-0.3842
1,2024-07-22,1164.13388896,1149.52603128,1166.38125168,1145.03130584,99448087.0,1018663805.8,1.83,-15.73,0.5125,-1.35
1,2024-07-23,1151.773394,1143.90762448,1160.76284488,1141.66026176,102015363.0,1046994471.4,1.66,-5.62,0.5257,-0.4888
1,2024-07-24,1143.90762448,1138.28921768,1150.64971264,1137.16553632,72451757.0,736332832.11,1.18,-5.62,0.3734,-0.4912
1,2024-07-25,1137.16553632,1133.79449224,1140.5365804,1123.68136,85640443.0,861750365.54,1.48,-4.49,0.4413,-0.3949
1,2024-07-26,1134.9181736,1127.05240408,1137.16553632,1120.31031592,92955195.0,931879546.46,1.49,-6.74,0.479,-0.5946
1,2024-07-29,1125.92872272,1136.04185496,1139.41289904,1120.31031592,78155243.0,788019058.61,1.69,8.99,0.4027,0.7976
1,2024-07-30,1134.9181736,1132.67081088,1138.28921768,1127.05240408,61326795.0,618056610.32,0.99,-3.37,0.316,-0.2967
1,2024-07-31,1132.67081088,1154.02075672,1155.14443808,1131.54712952,109690634.0,1117768674.7,2.08,21.35,0.5653,1.8849
100,2024-01-02,12.51989024,12.49063816,12.5783944,12.31512568,263615250.0,1121925060.95,2.09,-0.09,1.4566,-0.6977
100,2024-01-03,12.49063816,12.46138608,12.66615064,12.31512568,254043336.0,1080897588.37,2.81,-0.03,1.4037,-0.2342
100,2024-01-04,12.432134,12.22736944,12.432134,12.19811736,251588998.0,1055400272.98,1.88,-0.23,1.3901,-1.8779
100,2024-01-05,12.25662152,12.37362984,12.51989024,12.16886528,288237548.0,1221277057.83,2.87,0.15,1.5926,1.1962
100,2024-01-08,12.432134,12.54914232,12.95867144,12.40288192,421435106.0,1827497512.36,4.49,0.18,2.3286,1.4184
100,2024-01-09,12.54914232,12.54914232,12.84166312,12.432134,258089606.0,1110167544.74,3.26,0.0,1.426,0.0
100,2024-01-10,12.51989024,12.34437776,12.5783944,12.31512568,177418508.0,753262822.13,2.1,-0.2,0.9803,-1.6317
100,2024-01-11,12.34437776,12.51989024,12.5783944,12.25662152,176212161.0,751731579.33,2.61,0.18,0.9736,1.4218
100,2024-01-12,12.51989024,12.432134,12.5783944,12.37362984,124731056.0,531605611.57,1.64,-0.09,0.6892,-0.7009
100,2024-01-15,12.37362984,12.51989024,12.63689856,12.34437776,140892957.0,604017095.03,2.35,0.09,0.7785,0.7059
100,2024-01-16,12.54914232,12.66615064,12.66615064,12.37362984,175153447.0,749756670.76,2.34,0.15,0.9678,1.1682
100,2024-01-17,12.60764648,12.34437776,12.69540272,12.31512568,174409436.0,746060829.14,3.0,-0.32,0.9637,-2.5404
100,2024-01-18,12.2858736,12.46138608,12.49063816,12.1396132,237471996.0,996399842.13,2.84,0.12,1.3121,0.9479
100,2024-01-19,12.432134,12.51989024,12.69540272,12.34437776,230410434.0,989543854.84,2.82,0.06,1.2731,0.4695
100,2024-01-22,12.46138608,12.02260488,12.51989024,11.96410072,278623995.0,1166143748.01,4.44,-0.5,1.5395,-3.972
100,2024-01-23,12.02260488,12.2858736,12.40288192,11.96410072,234777156.0,974767213.34,3.65,0.26,1.2972,2.1898
100,2024-01-24,12.2858736,12.49063816,12.49063816,12.11036112,222129892.0,936011270.31,3.1,0.2,1.2273,1.6667
100,2024-01-25,12.49063816,12.51989024,12.5783944,12.31512568,216657059.0,922261779.04,2.11,0.03,1.1971,0.2342
100,2024-01-26,12.46138608,12.63689856,12.7246548,12.40288192,242201047.0,1045040024.57,2.57,0.12,1.3382,0.9346
100,2024-01-29,12.7246548,12.432134,12.78315896,12.2858736,246135161.0,1052166823.52,3.94,-0.2,1.36,-1.6204
100,2024-01-30,12.31512568,12.1396132,12.40288192,12.1396132,198653155.0,833347605.7,2.12,-0.29,1.0976,-2.3529
100,2024-01-31,12.08110904,11.8470924,12.1396132,11.81784032,191963652.0,785464708.44,2.65,-0.29,1.0607,-2.4096
100,2024-02-01,11.8470924,12.22736944,12.46138608,11.81784032,255091009.0,1062927845.31,5.43,0.38,1.4095,3.2099
100,2024-02-02,12.22736944,11.9933528,12.37362984,11.67157992,226962453.0,934142763.29,5.74,-0.23,1.254,-1.9139
100,2024-02-05,11.8470924,11.75933616,12.02260488,11.49606744,308468349.0,1242974288.83,4.39,-0.23,1.7044,-1.9512
100,2024-02-06,11.67157992,12.16886528,12.19811736,11.64232784,290038526.0,1194118826.05,4.73,0.41,1.6026,3.4826
100,2024-02-07,12.11036112,12.31512568,12.432134,11.9933528,282380557.0,1185094012.6,3.61,0.15,1.5602,1.2019
100,2024-02-08,12.2858736,12.16886528,12.34437776,12.11036112,305000546.0,1272149994.95,1.9,-0.15,1.6852,-1.1876
100,2024-02-19,12.2858736,12.69540272,12.69540272,12.16886528,368707114.0,1577374405.77,4.33,0.53,2.0372,4.3269
100,2024-02-20,12.60764648,12.75390688,12.81241104,12.49063816,216743112.0,939946999.71,2.53,0.06,1.1976,0.4608
100,2024-02-21,12.66615064,12.92941936,13.163436,12.63689856,361865033.0,1613107064.25,4.13,0.18,1.9994,1.3761
100,2024-02-22,12.8709152,12.92941936,12.98792352,12.7246548,195967493.0,862135416.38,2.04,0.0,1.0828,0.0
100,2024-02-23,12.92941936,12.92941936,13.07567976,12.78315896,183080682.0,808803451.96,2.26,0.0,1.0116,0.0
100,2024-02-26,12.95867144,12.8709152,13.163436,12.84166312,198985531.0,883594484.25,2.49,-0.06,1.0995,-0.4525
100,2024-02-27,12.84166312,12.95867144,12.95867144,12.78315896,199620990.0,878541887.44,1.36,0.09,1.103,0.6818
100,2024-02-28,12.98792352,12.5783944,13.0171756,12.5783944,247100166.0,1082230818.83,3.39,-0.38,1.3653,-2.9345
100,2024-02-29,12.51989024,13.25119224,13.25119224,12.49063816,398287591.0,1769535079.22,6.05,0.67,2.2007,5.3488
100,2024-03-01,13.36820056,14.12875464,14.21651088,13.10493184,635577916.0,2977179826.67,8.39,0.88,3.5118,6.6225
100,2024-03-04,14.1872588,13.83623384,14.1872588,13.68997344,402326940.0,1906829583.13,3.52,-0.29,2.223,-2.0704
100,2024-03-05,13.77772968,14.07025048,14.27501504,13.71922552,450777501.0,2158181383.96,4.02,0.23,2.4907,1.6913
100,2024-03-06,13.98249424,14.01174632,14.30426712,13.894738,327419995.0,1576610553.27,2.91,-0.06,1.8091,-0.4158
100,2024-03-07,13.894738,13.63146928,13.95324216,13.54371304,291938576.0,1371356337.66,2.92,-0.38,1.6131,-2.714
100,2024-03-08,13.63146928,13.83623384,13.894738,13.6022172,206444433.0,971478536.63,2.15,0.2,1.1407,1.5021
100,2024-03-11,13.83623384,13.894738,14.07025048,13.66072136,233655376.0,1104521800.54,2.96,0.06,1.291,0.4228
100,2024-03-12,13.894738,13.6022172,13.894738,13.54371304,250615699.0,1169405942.89,2.53,-0.29,1.3847,-2.1053
100,2024-03-13,13.6022172,13.54371304,13.7484776,13.54371304,171086528.0,797615807.26,1.51,-0.06,0.9453,-0.4301
100,2024-03-14,13.48520888,13.4559568,13.63146928,13.33894848,196669749.0,905839020.25,2.16,-0.09,1.0867,-0.6479
100,2024-03-15,13.42670472,13.68997344,13.68997344,13.39745264,216164524.0,1001988218.4,2.17,0.23,1.1944,1.7391
100,2024-03-18,13.63146928,13.68997344,13.86548592,13.39745264,283345267.0,1319116558.52,3.42,0.0,1.5656,0.0
100,2024-03-19,13.63146928,13.57296512,13.86548592,13.54371304,223852389.0,1047859235.29,2.35,-0.12,1.2369,-0.8547
100,2024-03-20,13.51446096,13.4559568,13.71922552,13.3096964,235448105.0,1081422041.95,3.02,-0.12,1.3009,-0.8621
100,2024-03-21,13.54371304,13.33894848,13.80698176,13.33894848,290955749.0,1345335326.78,3.48,-0.12,1.6076,-0.8696
100,2024-03-22,13.28044432,13.10493184,13.3096964,13.0171756,284382621.0,1279320459.94,2.19,-0.23,1.5713,-1.7544
100,2024-03-25,13.04642768,12.95867144,13.25119224,12.92941936,202589509.0,908319203.65,2.46,-0.15,1.1194,-1.1161
100,2024-03-26,12.95867144,13.07567976,13.19268808,12.90016728,218388830.0,974102426.77,2.26,0.12,1.2067,0.9029
100,2024-03-27,13.07567976,13.25119224,13.51446096,13.04642768,334810943.0,1521190716.9,3.58,0.18,1.8499,1.3423
100,2024-03-28,13.25119224,13.63146928,13.7484776,13.163436,320605174.0,1480217694.95,4.42,0.38,1.7714,2.8698
100,2024-03-29,13.63146928,13.66072136,13.68997344,13.48520888,152376294.0,707919000.5,1.5,0.03,0.8419,0.2146
100,2024-04-01,13.83623384,15.03556912,15.03556912,13.80698176,983210486.0,4988949614.34,8.99,1.37,5.4325,10.0642
100,2024-04-02,14.94781288,14.65529208,15.00631704,14.50903168,723280713.0,3629515513.22,3.31,-0.38,3.9963,-2.5292
100,2024-04-03,14.7723004,14.97706496,15.09407328,14.45052752,649511270.0,3291434093.39,4.39,0.32,3.5887,2.1956
100,2024-04-08,14.83080456,14.9185608,15.12332536,14.71379624,388035839.0,1981884379.62,2.73,-0.06,2.144,-0.3906
100,2024-04-09,14.88930872,14.68454416,15.00631704,14.39202336,326502853.0,1631104333.68,4.12,-0.23,1.804,-1.5686
100,2024-04-10,14.62604,14.53828376,14.62604,14.36277128,213629323.0,1058059903.67,1.79,-0.15,1.1804,-0.996
100,2024-04-11,14.42127544,14.39202336,14.59678792,14.36277128,238624666.0,1179432121.4,1.61,-0.15,1.3185,-1.006
100,2024-04-12,14.4797796,14.21651088,14.53828376,14.15800672,284993949.0,1393337012.05,2.64,-0.18,1.5747,-1.2195
100,2024-04-15,14.12875464,14.59678792,14.65529208,14.01174632,318582098.0,1570646206.2,4.53,0.38,1.7603,2.6749
100,2024-04-16,14.4797796,14.15800672,14.56753584,14.12875464,249477951.0,1221868759.55,3.01,-0.44,1.3784,-3.006
100,2024-04-17,14.1872588,14.68454416,14.68454416,14.1872588,289636780.0,1431851900.51,3.51,0.53,1.6003,3.719
100,2024-04-18,14.62604,14.56753584,14.9185608,14.50903168,292093853.0,1472852264.66,2.79,-0.12,1.6139,-0.7968
